location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240210T1000,9.450245
20240210T1100,10.090245
20240210T1200,11.000245
20240210T1300,11.720245
20240210T1400,11.960245
20240210T1500,11.760245
20240210T1600,11.180245
20240210T1700,11.170245
20240210T1800,10.400246
20240210T1900,9.240245
20240210T2000,9.280245
20240210T2100,8.980246
20240210T2200,9.190246
20240210T2300,7.9902453
20240211T0000,6.6602454
20240211T0100,6.040245
20240211T0200,6.020245
20240211T0300,6.190245
20240211T0400,6.4102454
20240211T0500,6.4902453
20240211T0600,6.5902452
20240211T0700,6.610245
20240211T0800,7.0602455
20240211T0900,7.750245
20240211T1000,8.400246
20240211T1100,9.020246
20240211T1200,9.490245
20240211T1300,9.8102455
20240211T1400,9.870245
20240211T1500,9.660245
20240211T1600,9.100245
20240211T1700,8.520246
20240211T1800,8.520246
20240211T1900,8.390245
20240211T2000,8.420245
20240211T2100,8.270246
20240211T2200,7.9102454
20240211T2300,7.7402453
20240212T0000,7.6802454
20240212T0100,7.5702453
20240212T0200,7.540245
20240212T0300,7.440245
20240212T0400,7.2602453
20240212T0500,7.110245
20240212T0600,6.8702455
20240212T0700,6.6402454
20240212T0800,7.0502453
20240212T0900,7.8302455
20240212T1000,8.570246
20240212T1100,9.110246
20240212T1200,9.470245
20240212T1300,9.580245
20240212T1400,9.710245
20240212T1500,9.570246
20240212T1600,8.970245
20240212T1700,7.670245
20240212T1800,7.1202455
20240212T1900,6.5702453
20240212T2000,6.3002453
20240212T2100,5.750245
20240212T2200,5.3402452
20240212T2300,4.9502454
20240213T0000,4.690245
20240213T0100,4.3702455
20240213T0200,4.0202456
20240213T0300,3.5502453
20240213T0400,2.9202452
20240213T0500,2.9702454
20240213T0600,2.8502455
20240213T0700,2.3402452
20240213T0800,4.6002455
20240213T0900,6.790245
20240213T1000,8.650246
20240213T1100,9.820246
20240213T1200,10.770246
20240213T1300,11.300245
20240213T1400,11.480246
20240213T1500,11.430245
20240213T1600,10.760245
20240213T1700,8.710245
20240213T1800,6.9302454
